id,Image,Active Year,Team,Name,Engine Layout
1,Alfa-Romeo-159.jpg,1950,Alfa Romeo,"158/159 ""Alfetta""", straight-8
2,MB-W196.jpg,1954,Mercedes-Benz,W196, straight-8
3,Maserati-250.jpg,1954,Maserati,250F, straight-6
4,Lancia-D50.jpg,1954,Lancia,D50, V8
5,Ferrari-500.jpg,1952,Ferrari,500, straight-4
6,Cooper-T51.jpg,1959,Cooper,T51, straight-4
7,Lotus-25.jpg,1962,Lotus,25, V8
8,Lotus-49.jpg,1967,Lotus,49, V8
9,BRM_P57.jpg,1962,BRM,P57, V8
10,Ferrari-158.jpg,1964,Ferrari,158, V8
11,Lotus-72.JPG,1970,Lotus,72, V8
12,Tyrrell-P34.jpg,1976,Tyrrell,P34, V8
13,Ferrari-312T.jpg,1975,Ferrari,312T, flat-12
14,McLaren-M23.jpg,1973,McLaren,M23, V8
15,Lotus-79.jpg,1978,Lotus,79, V8
16,Williams-FW07.jpg,1979,Williams,FW07, V8
17,Brabham-BT52.jpg,1983,Brabham,BT52, V6 turbo
18,McLaren-MP4-4.jpg,1988,McLaren,MP4/4, V6 turbo
19,Lotus-97T.jpg,1985,Lotus,97T, V6 turbo
20,Ferrari-126.jpg,1982,Ferrari,126, V6 turbo
21,Williams-FW14B.jpg,1992,Williams,FW14B, V10
22,McLaren-MP4-6.jpg,1991,McLaren,MP4/6, V12
23,Williams-FW15C.jpg,1993,Williams,FW15C, V10
24,Benetton-B194.jpg,1994,Benetton,B194, V8
25,Ferrari-F300.jpg,1998,Ferrari,F300, V10
26,Ferrari-F2004.jpg,2004,Ferrari,F2004, V10
27,Renault-R25.jpg,2005,Renault,R25, V10
28,Mclaren-MP4-23.jpg,2008,McLaren,MP4-23, V8
29,BrawnGP-BGP-001.jpg,2009,Brawn,BGP 001, V8
30,Red-Bull-RB5.jpg,2009,Red Bull,RB5, V8
31,Red-Bull-RB9.jpg,2013,Red Bull,RB9, V8
32,Mercedes-W05.jpg,2014,Mercedes,W05, V6 turbo hybrid
33,Mercedes-W07.jpg,2016,Mercedes,W07, V6 turbo hybrid
34,Ferrari-SF70H.jpg,2017,Ferrari,SF70H, V6 turbo hybrid
35,Mercedes-W10.jpg,2019,Mercedes,W10, V6 turbo hybrid
36,Mercedes-W11.jpg,2020,Mercedes,W11, V6 turbo hybrid
37,Red-Bull-RB16.jpg,2021,Red Bull,RB16, V6 turbo hybrid
38,Red-Bull-RB19.jpg,2023,Red Bull,RB19, V6 turbo hybrid
39,Mclaren-MCL38.jpg,2024,McLaren,MCL38, V6 turbo hybrid 
40,Ferrari-SF-25.jpg,2025,Ferrari,SF-25, V6 turbo hybrid
41,Red-Bull-RB21.jpg,2025,Red Bull,RB21, V6 turbo hybrid
